ID,Incident Number,Court Number,Arrest Date,Filed Case Type,List of Filed Charges,Crime Type,Crime Description,Type
56101,190004039,2514824,2019/01/02,Misdemeanor,",11350(A),11364(A),",DRUG,Narcotics,New Filing
56102,200360199,20006953,2019/01/02,Felony,",4502(A),",WEA,Weapons-Non-Gun,New Filing
56716,160478191,16011027,2019/01/02,MTR,",11377(A),459.5(A),475(B),475(C),475(b),475(c),484E(B),484E(D),496(A),",FRD,Fraud-Other,Motion to Revoke
56726,160734959,16016535,2019/01/02,MTR,",470(B),470b,485,496(A),496(a),602(M),",FRD,Fraud,Motion to Revoke
56751,Z20170803-17011359,17011359,2019/01/02,MTR,",11377(A),148.9(A),459,529(a)(2),594(B)1,",BURC,Burglary-Commerci,Motion to Revoke
56776,180081564,18001707,2019/01/02,MTR,",211,459,",ROB2,Robbery 2nd Degre,Motion to Revoke
56783,180257771,18005882,2019/01/02,MTR,",459,466,",BURA,Burglary-Auto,Motion to Revoke
56787,180340332,18007160,2019/01/02,MTR,",12022.7(a),242,243(B),243(D),243(d),245(A)4,368(B)1,",ASLT,Assault-Felony,Motion to Revoke
56799,180449746,18009936,2019/01/02,MTR,",136.1A1,136.1C1,236,243(E)1,245(A)4,273.5(A),417(A)1,422,646.9(A),",THRE,Threats,Motion to Revoke
56103,Z20190103-19000164,19000164,2019/01/03,Felony,",470(A),529(a)(3),529.3,803(c),",FRD,Fraud-Other,New Filing
56104,190005463,19000179,2019/01/03,Felony,",25400(a)(1),25400A1,25400A2,25850(A),25850(a),29800A1,30305(a)(1),30305A1,",GUN,Gun-Felony,New Filing
56105,190007049,19000188,2019/01/03,Felony,",148(A)1,25400A1,25400A2,25850(A),29800A1,29815(A),29815(a),",GUN,Gun-Felony,New Filing
56106,190007049,19000187,2019/01/03,Felony,",12022.1(b),135,148(A)1,25850(A),29800A1,29805(A),29815(A),",GUN,Gun-Felony,New Filing
56107,190006342,19000178,2019/01/03,Misdemeanor,",166(A)4,",STAY,Stay Away Violati,New Filing
56108,190005526,19000152,2019/01/03,Felony,",459,466,",BURA,Burglary-Auto,New Filing
56109,190005457,19000139,2019/01/03,Felony,",148(A)1,459,466,487(A),487(a),",THFT,Theft-Non Auto,New Filing
56110,190005708,19000161,2019/01/03,Felony,",182(A)1,459,466,",BURA,Burglary-Auto,New Filing
56111,190005708,19000160,2019/01/03,Felony,",182(A)1,459,",BURA,Burglary-Auto,New Filing
56112,190006405,19000171,2019/01/03,Felony,",135,459,594(B)1,594(b)(1),",BURC,Burglary-Commerci,New Filing
56113,190008053,19000207,2019/01/03,Felony,",21651(B),23153(A),23153(B),23153(b),23577(a),23578,",DUII,DUI with Injury,New Filing
56114,190007497,19000189,2019/01/03,Felony,",10851(A),12500(A),23103(A),23103(a),496D(A),",AUTO,Auto Theft,New Filing
56115,180968263,19000704,2019/01/03,Felony,",459,664/459,",BURC,Burglary-Commerci,New Filing
56116,190007243,2513847,2019/01/03,Misdemeanor,",11377(A),",DRUG,Narcotics,New Filing
56117,Z20190104-19000193,19000193,2019/01/03,Misdemeanor,",23103,23152(A),23152(B),",DUI,DUI,New Filing
56118,190007748,2514616,2019/01/03,Misdemeanor,",647(E),",OTHM,Other-Misdemeanor,New Filing
56119,190006314,2514893,2019/01/03,Misdemeanor,",602(M),",TRES,Trespass,New Filing
56120,180747227,19007197,2019/01/03,Felony,",12022.1(b),136.1(b)(1),136.1B1,166C1A,207(A),207(a),236,245(A)4,245(a)(4),273.5(A),273.6(A),273.6A,",ASLT,Assault-Felony,New Filing
56689,130985182,13032867,2019/01/03,MTR,",459,466,496(A),667.5(c)(21),",BURC,Burglary-Commerci,Motion to Revoke
56700,150299634,15008127,2019/01/03,MTR,",11350(A),11350(a),11364(A),11364(a),",DRUG,Narcotics,Motion to Revoke
56704,150762982,15019658,2019/01/03,MTR,",242,459.5(A),459.5(a),490.2(A),",THFT,Theft- Non-Auto,Motion to Revoke
56719,160516296,16011865,2019/01/03,MTR,",148(A)1,20001(A),21453(a),243(D),245(A)1,2800.2A,4462.5,664/211,",ROB1,Robbery 1st Degre,Motion to Revoke
56735,161022905,16021885,2019/01/03,MTR,",243(B),459,496(A),496(a),",BURA,Burglary-Auto,Motion to Revoke
56750,170600635,17010715,2019/01/03,MTR,",182(A)1,211,236,466,496(A),",ROB2,Robbery 2nd Degre,Motion to Revoke
56752,170663746,17012004,2019/01/03,MTR,",11351,11375(b)(1),11375B1,21810,459,466,",BURA,Burglary-Auto,Motion to Revoke
56766,170947841,17017181,2019/01/03,MTR,",11352(A),",CNV,Conversion,Motion to Revoke
56781,180173252,18003652,2019/01/03,MTR,",211,459,496(A),",ROB2,Robbery 2nd Degre,Motion to Revoke
56786,180317604,18006701,2019/01/03,MTR,",459,466,496(A),496(a),",BURA,Burglary-Auto,Motion to Revoke
56121,190008439,19000219,2019/01/04,Felony,",11351,11351.5,12022.1(b),",DRUG,Narcotics,New Filing
56122,190008871,19000224,2019/01/04,Felony,",11351,11378,135,148(A)1,21955,32,",DRUG,Narcotics,New Filing
56123,190008683,19000215,2019/01/04,Misdemeanor,",243.3,",ASLT,Assault-Misdemean,New Filing
56124,190009051,19000223,2019/01/04,Misdemeanor,",166(A)4,",STAY,Stay Away Violati,New Filing
56125,190008279,19000205,2019/01/04,Felony,",245(A)1,594(B)1,",VAN,Vandalism,New Filing
56126,190008235,19000210,2019/01/04,Felony,",11377(A),148(A)1,466,69(A),",THRE,Threats,New Filing
56127,190008417,19000214,2019/01/04,Misdemeanor,",166(A)4,",STAY,Stay Away Violati,New Filing
56128,180954836,19000234,2019/01/04,Felony,",12022.1(b),459,466,484E(C),484G(A),484G(B),496(A),496(a),530.5(A),664/459,NOTINTBL,",BURA,Burglary-Auto,New Filing
56129,190008326,19000208,2019/01/04,Misdemeanor,",236,273.5(A),273.5(a),594B2A,",ASLT,Assault-Misdemean,New Filing
56130,190010036,19000250,2019/01/04,Misdemeanor,",10852,",VAN,Vandalism,New Filing
56131,190010428,19000255,2019/01/04,Felony,",459,466,594(B)1,",BURA,Burglary-Auto,New Filing
56132,190010616,19000271,2019/01/04,Felony,",148(A)1,459,",BURA,Burglary-Auto,New Filing
56133,190000255,19000243,2019/01/04,Felony,",245(A)1,",ASLT,Assault-Felony,New Filing
56134,Z20190104-19000201,19000201,2019/01/04,Felony,",10851(A),14601.1(A),14601.1(a),466,496D(A),",AUTO,Auto Theft,New Filing
56135,190010183,2513803,2019/01/04,Misdemeanor,",490.2(A),",THFT,Theft- Non-Auto,New Filing
56136,190008699,2514316,2019/01/04,Misdemeanor,",242,594(b)(2)(A),594B2A,602.1(A),602.1(a),",ASLT,Assault-Misdemean,New Filing
56690,140019094,14000710,2019/01/04,MTR,",21453(d),290.011(a),290.011A,290.012(a),290.012A,",OTHF,Other-Felony,Motion to Revoke
56702,150519608,15013382,2019/01/04,MTR,",211,245(A)4,245(a)(4),664/211,",ROB2,Robbery 2nd Degre,Motion to Revoke
56728,160768594,16017218,2019/01/04,MTR,",459,496(A),496(a),667.5(c)(21),",BURR,Burglary-Resident,Motion to Revoke
56820,180772321,18015808,2019/01/04,MTR,",11350(A),11351,11352(A),11375(b)(1),11375B1,",DRUG,Narcotics,Motion to Revoke
56137,190011329,19000281,2019/01/05,Misdemeanor,",166(A)4,459,490.2(a),490.2A,",THFT,Theft- Non-Auto,New Filing
56138,190011090,19000282,2019/01/05,Misdemeanor,",166(C)1,166(c)(1),",STAY,Stay Away Violati,New Filing
56139,190011294,19000302,2019/01/05,Felony,",245(A)1,",ASLT,Assault-Felony,New Filing
56140,190012822,19000322,2019/01/05,Felony,",459,466,487(A),487(a),",THFT,Theft-Non Auto,New Filing
56141,190011216,19000280,2019/01/05,Felony,",11351,11351.5,166(A)4,",DRUG,Narcotics,New Filing
56142,190011664,19000288,2019/01/05,Felony,",11351,11351.5,11378,12022.1(b),166(A)4,32,",DRUG,Narcotics,New Filing
56143,190011523,19000290,2019/01/05,Felony,",211,",ROB2,Robbery 2nd Degre,New Filing
56144,190010939,19000270,2019/01/05,Misdemeanor,",459,466,",BURA,Burglary-Auto,New Filing
56145,190011028,19000283,2019/01/05,Felony,",242,243(B),415(1),69(A),",ASLT,Assault-Felony,New Filing
56146,190012747,19000313,2019/01/05,Felony,",211,591.5,",ROB2,Robbery 2nd Degre,New Filing
56147,190011169,19000279,2019/01/05,Felony,",11375B1,",DRUG,Narcotics,New Filing
56148,190010532,19000285,2019/01/05,Felony,",290.011A,290.012(a),290.012A,594(B)1,",VAN,Vandalism,New Filing
56149,190011545,19000306,2019/01/05,Felony,",148(A)1,186.22(a),186.22(b)(1),186.22(d),186.22A,20002(A),459,466,484(A),484(a),496(A),496(a),",BURA,Burglary-Auto,New Filing
56150,190013082,19000325,2019/01/05,Misdemeanor,",11350(A),11364(A),11377(A),",DRUG,Narcotics,New Filing
56151,190012446,19000301,2019/01/05,Misdemeanor,",273.6(A),",STAY,Stay Away Violati,New Filing
56152,190012690,19000314,2019/01/05,Felony,",243(E)1,243(e)(1),273.5(A),273.6(A),273.6(a),422,459,594(b)(2)(A),594B2A,646.9(A),646.9(B),646.9(a),646.9(b),667.5(c)(21),",THRE,Threats,New Filing
56153,190010860,19000272,2019/01/05,Felony,",136.1C1,148(A)1,236,422,647(B)1,",THRE,Threats,New Filing
56154,190010826,19000266,2019/01/05,Felony,",10851(A),14601.1(A),14601.1(a),",AUTO,Auto Theft,New Filing
56155,190011545,19000309,2019/01/05,Felony,",148(A)1,186.22(a),186.22(b)(1),186.22(d),186.22A,459,466,484(A),484(a),496(A),496(a),69(A),",BURA,Burglary-Auto,New Filing
56156,190011307,2513816,2019/01/05,Misdemeanor,",490.2(A),",THFT,Theft- Non-Auto,New Filing
56157,Z20190106-19000328,19000328,2019/01/05,Misdemeanor,",23152(A),23152(B),23577(a),23578,24400(A),24400(a),",DUI,DUI,New Filing
56158,190011943,2513801,2019/01/05,Misdemeanor,",490.2(A),",THFT,Theft- Non-Auto,New Filing
56159,Z20190105-19000269,19000269,2019/01/05,Misdemeanor,",23103,23152(A),23152(B),23152(G),23152(g),",DUI,DUI,New Filing
56160,Z20190105-19000265,19000265,2019/01/05,Misdemeanor,",23152(A),23152(B),23578,",DUI,DUI,New Filing
56161,190009813,2514607,2019/01/05,Misdemeanor,",594(b)(2)(A),594B2A,",VAN,Vandalism,New Filing
56707,150999812,15025543,2019/01/05,MTR,",25400(a)(2),25400A2,25850(A),25850(a),29800(a)(1),29800A1,30305(a)(1),30305A1,31360(A),31360(a),",GUN,Gun-Felony,Motion to Revoke
56739,161003513,17001906,2019/01/05,MTR,",12022(b)(1),211,487(A),",ROB2,Robbery 2nd Degre,Motion to Revoke
56162,190013557,19000341,2019/01/06,Felony,",236,243(E)1,243(e)(1),273.5(f)(2),273.5F2,451(D),451(d),",ASLT,Assault-Felony,New Filing
56163,190013739,19000339,2019/01/06,Misdemeanor,",166(A)4,",STAY,Stay Away Violati,New Filing
56164,190014157,19000348,2019/01/06,Misdemeanor,",242,243(E)1,273A(B),273a(b),",ASLT,Assault-Misdemean,New Filing
56165,190013165,19000335,2019/01/06,Felony,",22010,459,466,496(A),594(B)1,",CNV,Conversion,New Filing
56166,190014113,19000349,2019/01/06,Misdemeanor,",490.2(a),490.2A,",THFT,Theft- Non-Auto,New Filing
56167,190014163,19000343,2019/01/06,Felony,",12022.1(b),459.5(A),459.5(a),487(A),490.2(A),490.2(a),",THFT,Theft-Non Auto,New Filing
56168,190013400,19000332,2019/01/06,Felony,",417(A)1,422,",THRE,Threats,New Filing
56169,190014884,19000353,2019/01/06,Felony,",452(B),452(C),452(b),453(A),",ARS,Arson,New Filing
56170,190014511,19000354,2019/01/06,Felony,",451(B),451(D),451(b),451(d),452(C),453(A),594(B)1,",ARS,Arson,New Filing
56171,190014743,19000352,2019/01/06,Felony,",12022.1(b),182(A)1,459,466,496(A),",BURA,Burglary-Auto,New Filing
56172,190014743,19000351,2019/01/06,Felony,",182(A)1,459,466,496(A),",BURA,Burglary-Auto,New Filing
56173,190013331,19000336,2019/01/06,Misdemeanor,",594(B)1,594(b)(1),",VAN,Vandalism,New Filing
56174,190013961,19000344,2019/01/06,Felony,",11351,11351.5,11359(B),11359(b),11375B1,12022.1(b),30305A1,",DRUG,Narcotics,New Filing
56175,190014583,19000347,2019/01/06,Felony,",459,466,487(A),",THRE,Threats,New Filing
56176,Z20190106-19000329,19000329,2019/01/06,Misdemeanor,",22350,23103(A),23152(A),23152(B),",DUI,DUI,New Filing
56177,Z20190106-19000331,19000331,2019/01/06,Misdemeanor,",23103,23152(A),23152(B),23582(a),",DUI,DUI,New Filing
56737,161014059,17000235,2019/01/06,MTR,",459,",BURR,Burglary-Resident,Motion to Revoke
56792,180416604,18008704,2019/01/06,MTR,",11364(A),11364(a),459,466,496(A),594(B)(2)(A),",BURA,Burglary-Auto,Motion to Revoke
56178,180420821,2513738,2019/01/07,Misdemeanor,",484(A),484(a),",THFT,Theft- Non-Auto,New Filing
56179,190015638,19000381,2019/01/07,Felony,",242,245(A)1,245(a)(1),368(B)1,368(C),368(F),368(b)(1),368(f),",EAP,Elder Abuse-Physi,New Filing
56180,190016432,19000387,2019/01/07,Misdemeanor,",166(A)9,166(a)(9),",STAY,Stay Away Violati,New Filing
56181,190016197,19000377,2019/01/07,Felony,",459,594(B)1,594(b)(1),",BURC,Burglary-Commerci,New Filing
56182,190016119,19000382,2019/01/07,Felony,",11351,11351.5,11378,12022.1(b),166(A)4,",DRUG,Narcotics,New Filing
56183,190016545,19000385,2019/01/07,Felony,",11350(A),11350(a),11377(A),11378,1203.073(b)(2),",DRUG,Narcotics,New Filing
56184,190013159,19000379,2019/01/07,Felony,",166(A)4,459,664/459,",BURR,Burglary-Resident,New Filing
56185,190015070,19000363,2019/01/07,Felony,",10851(A),496D(A),",AUTO,Auto Theft,New Filing
56186,190015070,19000365,2019/01/07,Felony,",10851(A),496D(A),",AUTO,Auto Theft,New Filing
56187,190015945,19000372,2019/01/07,Misdemeanor,",148(A)1,602.1(B),69(A),69(a),",OTHM,Other-Misdemeanor,New Filing
56188,190017173,19000399,2019/01/07,Felony,",459,466,496(A),",BURA,Burglary-Auto,New Filing
56189,190017010,19000390,2019/01/07,Felony,",148(A)1,148(a)(1),459,466,",BURA,Burglary-Auto,New Filing
56190,190020762,19000473,2019/01/07,Misdemeanor,",242,",ASLT,Assault-Misdemean,New Filing
56191,190000026,19000397,2019/01/07,Misdemeanor,",23103(A),23152(A),23152(B),",DUI,DUI,New Filing
56192,190007782,2513954,2019/01/07,Misdemeanor,",490.2(A),",THFT,Theft- Non-Auto,New Filing
56193,190015525,2514244,2019/01/07,Misdemeanor,",498(B)1,647(E),",OTHM,Other-Misdemeanor,New Filing
56194,Z20190107-02513740,2513740,2019/01/07,Misdemeanor,",243(E)1,",CNV,Conversion,New Filing
56727,160746578,16016797,2019/01/07,MTR,",10852,459,466,",BURA,Burglary-Auto,Motion to Revoke
56736,161053483,16022573,2019/01/07,MTR,",211,242,245(A)4,",ROB2,Robbery 2nd Degre,Motion to Revoke
56756,170707372,17012808,2019/01/07,MTR,",11351.5,148(A)1,32,",DRUG,Narcotics,Motion to Revoke
56798,180476197,18009874,2019/01/07,MTR,",243(A),245(A)4,273.5(A),273.5F1,273A(A),422,594(B)1,594(B)2,",ASLT,Assault-Felony,Motion to Revoke
56800,Z20180701-18010060,18010060,2019/01/07,MTR,",10851(A),12022(b)(1),215(A),215(a),236,496D(A),664/211,",CJAC,Carjacking,Motion to Revoke
56811,180709540,18014536,2019/01/07,MTR,",459,487(A),487(a),496(A),",BURR,Burglary-Resident,Motion to Revoke
56812,180709540,18014537,2019/01/07,MTR,",459,466,487(A),487(a),496(A),",BURR,Burglary-Resident,Motion to Revoke
56815,180733458,18015041,2019/01/07,MTR,",594(B)1,",VAN,Vandalism,Motion to Revoke
56195,180852274,19000421,2019/01/08,Felony,",10851(A),11364(A),14601.1(A),496D(A),496D,",AUTO,Auto Theft,New Filing
56196,190018002,19000417,2019/01/08,Felony,",148.9(A),211,490.5,",BURR,Burglary-Resident,New Filing
56197,190019458,19000443,2019/01/08,Felony,",459,466,",BURA,Burglary-Auto,New Filing
56198,190018789,19000424,2019/01/08,Misdemeanor,",166(A)4,",STAY,Stay Away Violati,New Filing
56199,190017537,19000402,2019/01/08,Misdemeanor,",11350(A),11377(A),11377(a),",DRUG,Narcotics,New Filing
56200,190019674,19000445,2019/01/08,Misdemeanor,",490.2(A),",THFT,Theft- Non-Auto,New Filing
56201,190018579,19000427,2019/01/08,Felony,",11350(A),11351,11364(A),11378,",DRUG,Narcotics,New Filing
56202,190018450,19000428,2019/01/08,Felony,",11351,11351.5,11378,12022.1(b),166(A)4,7.2.12,",DRUG,Narcotics,New Filing
56203,190018886,19000440,2019/01/08,Misdemeanor,",22106,23152(A),23152(B),",DUI,DUI,New Filing
56204,190015707,19000418,2019/01/08,Felony,",10851(A),496D(A),",AUTO,Auto Theft,New Filing
56205,190018955,19000429,2019/01/08,Felony,",11351,11351.5,11352(A),11370.4(b)(1),11378,11379(A),1203.07(a)(1),1203.073(b)(1),1203.073(b)(2),",DRUG,Narcotics,New Filing
56206,190018933,19000432,2019/01/08,Misdemeanor,",314(1),647.6(a)(1),647.6A1,",IE,Indecent Exposure,New Filing
56207,190018369,19000426,2019/01/08,Felony,",11364(A),30305A1,",WEA,Weapons-Non-Gun,New Filing
56208,190019232,19000449,2019/01/08,Felony,",11351,11351.5,11370.1(A),14601.1(A),148(A)1,22107,23900,24600,25400(a)(1),25400A1,25850(A),29800A1,30305A1,",GUN,Gun-Felony,New Filing
56209,190019204,19000452,2019/01/08,Felony,",12022(a)(1),211,25400A1,25850(A),25850(a),272(A)1,272(a)(1),32,496(A),496(a),",ROB2,Robbery 2nd Degre,New Filing
56210,190019204,19000459,2019/01/08,Felony,",12022(a)(1),211,25400A1,25850(A),25850(a),272(A)1,272(a)(1),496(A),496(a),",ROB2,Robbery 2nd Degre,New Filing
56211,190019204,19000458,2019/01/08,Felony,",12022(a)(1),211,25400A1,25850(A),25850(a),272(A)1,272(a)(1),496(A),496(a),",ROB2,Robbery 2nd Degre,New Filing
56212,190019038,19000444,2019/01/08,Felony,",243(E)1,273.5(A),368(C),",CNV,Conversion,New Filing
56213,190019721,19000464,2019/01/08,Misdemeanor,",166(A)4,166(a)(4),490.2(A),",THFT,Theft- Non-Auto,New Filing
56214,190017703,19000434,2019/01/08,Misdemeanor,",11377(A),11377(a),",DRUG,Narcotics,New Filing
56215,190019185,19000446,2019/01/08,Felony,",496(A),496(B),496(a),496(b),",RECP,Receiving Stolen,New Filing
56216,190018977,19000441,2019/01/08,Felony,",10852,485,496D(A),496d(a),664/10851,",AUTO,Auto Theft,New Filing
56217,190019696,19000456,2019/01/08,Misdemeanor,",148.9(A),148.9(a),422,594B2A,",THRE,Threats,New Filing
56218,190018701,2513845,2019/01/08,Misdemeanor,",459.5(A),490.2(A),",THFT,Theft- Non-Auto,New Filing
56219,190000027,19000400,2019/01/08,Misdemeanor,",23152(A),24250,26710,",DUI,DUI,New Filing
56220,190017430,2513907,2019/01/08,Misdemeanor,",22107,23152(A),23152(B),23152(a),23538(b)(2),23578,",DUI,DUI,New Filing
56713,160380126,16008873,2019/01/08,MTR,",459,667.5(c)(21),",BURR,Burglary-Resident,Motion to Revoke
56732,160894650,16019619,2019/01/08,MTR,",11364(A),12022.1(b),459,466,664/459,",BURC,Burglary-Commerci,Motion to Revoke
56780,180145819,18003108,2019/01/08,MTR,",211,487(A),496(A),",ROBB,Robbery,Motion to Revoke
56784,180287433,18006137,2019/01/08,MTR,",459,466,496(A),667.5(c)(21),",BURR,Burglary-Resident,Motion to Revoke
56785,180316117,18006674,2019/01/08,MTR,",148.9(A),148.9(a),459,466,496(A),",BURA,Burglary-Auto,Motion to Revoke
56797,180467259,18009716,2019/01/08,MTR,",459,466,496(A),496(a),",BURA,Burglary-Auto,Motion to Revoke
56221,190019975,19000460,2019/01/09,Misdemeanor,",166(A)4,",STAY,Stay Away Violati,New Filing
56222,190021992,19000505,2019/01/09,Misdemeanor,",166(A)4,",STAY,Stay Away Violati,New Filing
56223,190020819,19000498,2019/01/09,Felony,",11352(A),166(a)(4),",DRUG,Narcotics,New Filing
56224,190021453,19000500,2019/01/09,Felony,",11351.5,11375B1,11378,32,",DRUG,Narcotics,New Filing
56225,190008213,19000504,2019/01/09,Felony,",242,245(A)4,273.6(A),273.6(a),422,",THRE,Threats,New Filing
56226,190021572,19000501,2019/01/09,Felony,",11352(A),11359(c),32,",DRUG,Narcotics,New Filing
56227,190021378,19000495,2019/01/09,Felony,",11350(A),11378,",DRUG,Narcotics,New Filing
56228,190021027,19000483,2019/01/09,Felony,",11364(A),11364(a),11378,11379(A),",DRUG,Narcotics,New Filing
56229,190020104,19000465,2019/01/09,Felony,",11351,11351.5,11378,25620(A),",DRUG,Narcotics,New Filing
56230,190022605,19000512,2019/01/09,Misdemeanor,",136.1C1,166(C)1,243(E)1,243(e)(1),",ASLT,Assault-Misdemean,New Filing
56231,190021710,19000506,2019/01/09,Felony,",11351.5,11353.6(b),12022.1(b),32,MTRDA,",DRUG,Narcotics,New Filing
56232,190021516,19000497,2019/01/09,Felony,",11352(A),11352(a),12022.1(b),",DRUG,Narcotics,New Filing
56233,180968978,19000478,2019/01/09,Felony,",459,490.2(A),490.2(a),",BURC,Burglary-Commerci,New Filing
56234,190022730,19000519,2019/01/09,Felony,",422,487(A),594(B)1,69(A),",THFT,Theft-Non Auto,New Filing
56235,190021328,19000484,2019/01/09,Misdemeanor,",422,",THRE,Threats,New Filing
56236,190020847,19000499,2019/01/09,Felony,",11351,11351.5,11352(A),11353.6(b),11378,",DRUG,Narcotics,New Filing
56237,190018626,19000513,2019/01/09,Felony,",14601.1(A),459,466,496(A),496(a),781,",BURA,Burglary-Auto,New Filing
56238,190018626,19000515,2019/01/09,Felony,",459,466,487(A),487(a),496(A),496(a),594(B)1,594(b)(1),781,",BURA,Burglary-Auto,New Filing
56239,190020013,19000463,2019/01/09,Misdemeanor,",12951(a),23103(A),23152(A),23152(b),24600(D),",DUI,DUI,New Filing
56240,190000029,19000450,2019/01/09,Misdemeanor,",23152(A),23152(B),23578,",DUI,DUI,New Filing
56241,190022887,2513996,2019/01/09,Misdemeanor,",14601.2(A),16028A,21657,",TRAN,14601/14602: Susp,New Filing
56721,160589384,16013447,2019/01/09,MTR,",186.22A,459,484(A),484(a),487(A),487(a),496(A),496(a),",BURA,Burglary-Auto,Motion to Revoke
