ID,Incident Number,Court Number,Arrest Date,Filed Case Type,List of Filed Charges,Crime Type,Crime Description,Type
47774,180010256,18000255,2018/01/04,Felony,",459,496(A),",BURA,Burglary-Auto,New Filing
47775,180010256,18000254,2018/01/04,Felony,",459,496(A),",BURA,Burglary-Auto,New Filing
47776,180010632,18000251,2018/01/04,Felony,",12022(b)(1),12022.1(b),211,245(A)1,245(A)4,245(a)(1),496(A),496(a),664/211,",ROB2,Robbery 2nd Degre,New Filing
47777,180010400,18000294,2018/01/04,Felony,",12022.1(b),25850(A),25850(a),29800A1,30305A1,",GANG,Gang,New Filing
47778,171005123,18000243,2018/01/04,Felony,",459,",BURA,Burglary-Auto,New Filing
47779,180010193,18000245,2018/01/04,Misdemeanor,",11364(A),11377(a),11377A,",DRUG,Narcotics,New Filing
47780,180010193,18000249,2018/01/04,Misdemeanor,",11364(A),11377(A),11377(a),14601.1(A),",DRUG,Narcotics,New Filing
47781,180009566,18000233,2018/01/04,Felony,",11350(A),11351.5,11352(A),25620(A),",DRUG,Narcotics,New Filing
47782,180008518,18000201,2018/01/04,Felony,",453(A),453(a),455,594(B)1,",ARS,Arson,New Filing
47783,180003091,18000228,2018/01/04,Felony,",10851(A),12500(A),",AUTO,Auto Theft,New Filing
47784,180009328,18000232,2018/01/04,Felony,",11351.5,11377,11378,",DRUG,Narcotics,New Filing
47785,180001380,18000227,2018/01/04,Felony,",496D(A),666.5,",AUTO,Auto Theft,New Filing
47786,180009265,18000225,2018/01/04,Felony,",417(A)1,594(B)1,594(b)(1),594.2(A),594.2(a),",VAN,Vandalism,New Filing
47787,180009221,18000229,2018/01/04,Felony,",422,459,487(A),",BURR,Burglary-Resident,New Filing
47788,180008734,18000208,2018/01/04,Misdemeanor,",10852,148.9(A),496(A),602(M),602(m),",OTHM,Other-Misdemeanor,New Filing
47789,180009657,18000237,2018/01/04,Misdemeanor,",14601.1(A),18710(A),18710(a),23222(A),26708(A),",OTHM,Other-Misdemeanor,New Filing
47790,180010212,18000261,2018/01/04,Felony,",11378,459,466,496(A),",BURA,Burglary-Auto,New Filing
47791,180010911,18000270,2018/01/04,Felony,",11351,11352(A),11364(A),11375B1,",DRUG,Narcotics,New Filing
47792,180010911,18000271,2018/01/04,Felony,",11350(A),11351,11352(A),11352(a),11375B1,25400(a)(2),25400A2,25400A3,25850(A),",GUN,Gun-Felony,New Filing
47793,180006421,18000260,2018/01/04,Felony,",11351.5,11352(A),12022.5(a),12022.53(a),245(A)2,245(B),246,246.3(A),25400(a)(1),25400(a)(2),25400A1,25400A2,25850(a),25850A,29800A1,664/187A,",GUN,Gun-Felony,New Filing
47794,180005780,18000264,2018/01/04,Felony,",136.1(b)(1),136.1B1,243(E)1,243(e)(1),422,646.9(A),646.9(a),",STLK,Stalking,New Filing
47795,180009867,2507812,2018/01/04,Felony,",647(A),647(a),664/314,",IE,Indecent Exposure,New Filing
47796,180008392,2508135,2018/01/04,Misdemeanor,",11364(A),11364(a),11377(A),11377(a),",DRUG,Narcotics,New Filing
47797,180010472,2508269,2018/01/04,Misdemeanor,",490.2(A),",THFT,Theft- Non-Auto,New Filing
47798,180006421,18008664,2018/01/04,Felony,",11351.5,11352(A),12022.5(a),12022.53(b),12022.53(c),148(A)1,245(B),246,246.3(A),25400A1,25400A2,25850(A),29800A1,29805(A),664/187A,MTRDA,",AHOM,Attempted Homicid,New Filing
47799,180012387,18000291,2018/01/05,Misdemeanor,",314.1,647(A),647(a),",IE,Indecent Exposure,New Filing
47800,180013181,18000306,2018/01/05,Felony,",11351,11370.1(A),11370.1(a),11375(b)(1),11375B1,1203.07(a)(1),32310(A),",GUN,Gun-Felony,New Filing
47801,180013181,18000317,2018/01/05,Felony,",11351,11375(b)(1),11375B1,1203.07(a)(1),29800A1,",GUN,Gun-Felony,New Filing
47802,Z20180105-18000287,18000287,2018/01/05,Felony,",10851(A),496D(A),",AUTO,Auto Theft,New Filing
47803,180011016,18000310,2018/01/05,Felony,",148(A)1,166(C)1,240,242,243.25,245(A)1,368(B)1,368(C),422,664245A1,69(A),",THRE,Threats,New Filing
47804,180011298,18000277,2018/01/05,Felony,",11351,11351.5,11378,",DRUG,Narcotics,New Filing
47805,180010541,18000289,2018/01/05,Felony,",11351,11351.5,11352(a),11378,12022.1(b),1203.07(a)(1),135,166(a)(4),",DRUG,Narcotics,New Filing
47806,180012434,18000296,2018/01/05,Felony,",11351,11351.5,",DRUG,Narcotics,New Filing
47807,180012860,18000307,2018/01/05,Felony,",487(A),594(B)1,",THFT,Theft-Non Auto,New Filing
47808,180011072,18000268,2018/01/05,Misdemeanor,",242,245(a)(4),",ASLT,Assault-Misdemean,New Filing
47809,180011191,18000276,2018/01/05,Felony,",459,466,",BURA,Burglary-Auto,New Filing
47810,180011157,18000269,2018/01/05,Felony,",245(A)1,245(a)(1),",ASLT,Assault-Felony,New Filing
47811,180011044,18000265,2018/01/05,Felony,",594(B)1,",VAN,Vandalism,New Filing
47812,180012644,18000297,2018/01/05,Misdemeanor,",10851(A),496D(A),496d(a),",AUTO,Auto Theft,New Filing
47813,180012713,18000295,2018/01/05,Felony,",11364(A),11377(A),12022.1(b),4463(A),4463(a),",FRD,Fraud-Other,New Filing
47814,180012854,18000323,2018/01/05,Felony,",1192.7(c)(8),12022.7(c),166(A)4,240,243(D),243(d),245(A)4,368(B)1,368(C)1,368(b)(2),667.5(c)(8),",EAP,Elder Abuse-Physi,New Filing
47815,180013705,18000332,2018/01/05,Felony,",12500(A),25850(A),26100(A),29800A1,30305A1,30605(A),32,",GUN,Gun-Felony,New Filing
47816,180013705,18000327,2018/01/05,Felony,",25850(A),30605(A),",GUN,Gun-Felony,New Filing
47817,180011925,2507171,2018/01/05,Misdemeanor,",490.2(A),490.2(a),",THFT,Theft- Non-Auto,New Filing
47818,Z20180106-18000322,18000322,2018/01/05,Misdemeanor,",23152(A),23152(B),23578,",DUI,DUI,New Filing
47819,180012086,18000293,2018/01/05,Misdemeanor,",14601.2(A),16028(C),16028(c),20002(A),23152(A),23152(B),23152(b),23154(A),23154(a),23538(b)(2),23578,",DUI,DUI,New Filing
47820,180012105,2507428,2018/01/05,Misdemeanor,",14601.2(A),4000(A)1,4000(a)(1),",TRAN,14601/14602: Susp,New Filing
47821,180012462,2507728,2018/01/05,Misdemeanor,",242,490.2(A),",ASLT,Assault-Misdemean,New Filing
47822,180012832,2508163,2018/01/05,Misdemeanor,",242,",ASLT,Assault-Misdemean,New Filing
47823,180013589,2508194,2018/01/05,Misdemeanor,",490.2(A),490.2(a),",THFT,Theft- Non-Auto,New Filing
47824,Z20180105-02507122,2507122,2018/01/05,Felony,",530.5,",CNV,Conversion,New Filing
47825,Z20180105-02507123,2507123,2018/01/05,Felony,",664266HA,",CNV,Conversion,New Filing
47826,180014032,18000343,2018/01/06,Misdemeanor,",11364(A),11377(A),148(A)1,",DRUG,Narcotics,New Filing
47827,180014270,18000344,2018/01/06,Misdemeanor,",166(C)1,",STAY,Stay Away Violati,New Filing
47828,180014543,18000360,2018/01/06,Felony,",11364(A),290.011A,290.012(a),290.012A,",290,290 Failure to Re,New Filing
47829,180016210,18000377,2018/01/06,Felony,",12022.1(b),459,496(A),496(a),",AUTO,Auto Theft,New Filing
47830,180015870,18000394,2018/01/06,Felony,",459,466,485,496(A),496(a),",BURA,Burglary-Auto,New Filing
47831,180015319,18000366,2018/01/06,Felony,",11350(A),11351,11375B1,11378,",DRUG,Narcotics,New Filing
47832,180015319,18000367,2018/01/06,Felony,",11350(A),11351,11375B1,11378,",DRUG,Narcotics,New Filing
47833,180015096,18000356,2018/01/06,Misdemeanor,",10852,",VAN,Vandalism,New Filing
47834,180016113,18000379,2018/01/06,Misdemeanor,",10851(A),10851(a),",AUTO,Auto Theft,New Filing
47835,180015466,18000378,2018/01/06,Felony,",12022(b)(1),21310,69(A),69(a),",ASLT,Assault-Felony,New Filing
47836,180013959,18000334,2018/01/06,Felony,",12022.7(a),148(A)1,243(D),245(A)4,",ASLT,Assault-Felony,New Filing
47837,180014139,18000340,2018/01/06,Felony,",25400(a)(2),25400A2,25850(A),32310(C),32310(c),",GUN,Gun-Felony,New Filing
47838,180014082,18000336,2018/01/06,Felony,",12022.7(a),148.9(B),236,243(D),245(A)4,",ASLT,Assault-Felony,New Filing
47839,180015585,2507148,2018/01/06,Misdemeanor,",490.2(A),",THFT,Theft- Non-Auto,New Filing
47840,Z20180106-18000326,18000326,2018/01/06,Misdemeanor,",23103,23152(A),23152(B),",DUI,DUI,New Filing
47841,180014195,18000339,2018/01/06,Misdemeanor,",20002(A),23152(A),23152(B),23578,",DUI,DUI,New Filing
47842,180013993,18000333,2018/01/06,Misdemeanor,",23103,23152(A),23152(B),4000(A),",DUI,DUI,New Filing
47843,180016179,2507970,2018/01/06,Misdemeanor,",490.2(A),",THFT,Theft- Non-Auto,New Filing
47844,180019032,18000442,2018/01/07,Misdemeanor,",166(A)4,",STAY,Stay Away Violati,New Filing
47845,Z20180107-18000387,18000387,2018/01/07,Misdemeanor,",148(A)1,25400A2,25850(A),",GUN,Gun-Misdemeanor,New Filing
47846,180017973,18000416,2018/01/07,Misdemeanor,",490.2(A),",THFT,Theft- Non-Auto,New Filing
47847,180017036,18000399,2018/01/07,Misdemeanor,",166(A)4,",STAY,Stay Away Violati,New Filing
47848,180017371,18000417,2018/01/07,Felony,",211,245(A)1,459,664/211,",ASLT,Assault-Felony,New Filing
47849,180017644,18000409,2018/01/07,Felony,",11351,11351.5,11352(A),",DRUG,Narcotics,New Filing
47850,180018818,18000437,2018/01/07,Felony,",459,",BURC,Burglary-Commerci,New Filing
47851,180017014,18000400,2018/01/07,Felony,",12022.7(e),236,245(A)4,245(a)(4),273.5(A),273.6(A),29800A1,422,591.5,",THRE,Threats,New Filing
47852,180017224,18000446,2018/01/07,Felony,",12022.1(b),422,",THRE,Threats,New Filing
47853,180016903,18000396,2018/01/07,Felony,",12022(b)(1),1203(e)(1),1203(e)(2),245(A)1,245(A)4,422,459,496(A),667.5(c)(21),",BURR,Burglary-Resident,New Filing
47854,180016828,18000389,2018/01/07,Felony,",245(A)1,",ASLT,Assault-Felony,New Filing
47855,180016947,18000393,2018/01/07,Felony,",148.9(A),459,667.5(c)(21),",BURR,Burglary-Resident,New Filing
47856,180017553,18000413,2018/01/07,Felony,",11350(A),11350(a),11377(A),11377(a),29800A1,30305A1,466.5(A),",GUN,Gun-Felony,New Filing
47857,180016997,18000406,2018/01/07,Felony,",459,664/459,667.5(c)(21),",BURR,Burglary-Resident,New Filing
47858,180018197,18000418,2018/01/07,Misdemeanor,",148(A)1,243(B),69(A),69(a),",148,Resist/Obstruct/D,New Filing
47859,Z20180107-18000381,18000381,2018/01/07,Misdemeanor,",23103,23152(A),23152(B),",DUI,DUI,New Filing
47860,180016696,18000386,2018/01/07,Misdemeanor,",16028(a),22350,23152(A),23152(B),23578,",DUI,DUI,New Filing
47861,180018125,2507151,2018/01/07,Misdemeanor,",242,602.1(A),602.1(a),",ASLT,Assault-Misdemean,New Filing
47862,180018460,2507509,2018/01/07,Felony,",148(A)1,25400(a)(2),25400A2,",GUN,Gun-Felony,New Filing
47863,180017779,2508060,2018/01/07,Misdemeanor,",242,",ASLT,Assault-Misdemean,New Filing
47864,Z20180621-02509976,2509976,2018/01/07,Misdemeanor,",23152(A),23152(B),",DUI,DUI,New Filing
47865,170735464,18000460,2018/01/08,Felony,",289(D)1,289(E),",SAA,Sexual Assault,New Filing
47866,180020227,18000477,2018/01/08,Misdemeanor,",166(A)4,",STAY,Stay Away Violati,New Filing
47867,180020001,18000472,2018/01/08,Misdemeanor,",166(A)4,490.2(A),",THFT,Theft- Non-Auto,New Filing
47868,180020211,18000463,2018/01/08,Misdemeanor,",490.2(A),",THFT,Theft- Non-Auto,New Filing
47869,Z20180108-18000450,18000450,2018/01/08,Misdemeanor,",14601.1(A),245(A)4,245(a)(4),594(B)1,594(b)(1),",VAN,Vandalism,New Filing
47870,180020255,18000465,2018/01/08,Misdemeanor,",273A(B),273a(b),",CE,Child Endangermen,New Filing
47871,180019333,18000453,2018/01/08,Felony,",12022.1(b),459,",BURC,Burglary-Commerci,New Filing
47872,180019333,18000452,2018/01/08,Felony,",148(A)1,459,",BURC,Burglary-Commerci,New Filing
47873,180020443,18000476,2018/01/08,Felony,",23152(A),23153(A),23153(B),23558,23578,",DUII,DUI with Injury,New Filing
47874,180021134,2507173,2018/01/08,Misdemeanor,",490.2(A),",THFT,Theft- Non-Auto,New Filing
47875,180020697,2507172,2018/01/08,Misdemeanor,",490.2(A),",THFT,Theft- Non-Auto,New Filing
47876,180020722,18000498,2018/01/08,Felony,",451(D),452(C),453(A),",ARS,Arson,New Filing
47877,Z20180109-18000487,18000487,2018/01/08,Misdemeanor,",23152(A),23152(B),2800.1A,",DUI,DUI,New Filing
47878,Z20180222-02507865,2507865,2018/01/08,Misdemeanor,",11350(A),11364(A),",DRUG,Narcotics,New Filing
47879,180019145,2508242,2018/01/08,Misdemeanor,",11350(A),22350,23152(F),",DUI,DUI,New Filing
47880,180024451,18000527,2018/01/09,Misdemeanor,",490.2(A),",THFT,Theft- Non-Auto,New Filing
47881,180003881,18000494,2018/01/09,Felony,",12022.5(a),12022.5(d),12022.53(b),12022.53(c),12022.53(d),12022.7(a),245(B),25850(A),29800A1,30305A1,664/187A,",AHOM,Attempted Homicid,New Filing
47882,180023312,18000519,2018/01/09,Misdemeanor,",415(3),422,",THRE,Threats,New Filing
47883,180041315,18000515,2018/01/09,Felony,",10851(A),10851(a),496(A),496(a),496D(A),",AUTO,Auto Theft,New Filing
47884,180024207,18000525,2018/01/09,Felony,",11351,11351.5,11352.5(1),11364(A),1203.07(a)(1),1203.073(b)(1),21956(A),",DRUG,Narcotics,New Filing
47885,180021770,18000499,2018/01/09,Felony,",14601.1(A),22107,25400A1,25850(A),29800A1,30305(a)(1),30305A1,496(A),",GUN,Gun-Felony,New Filing
47886,180021946,18000500,2018/01/09,Felony,",12022(b)(1),243(E)1,245(A)1,273.5(A),",ASLT,Assault-Felony,New Filing
47887,180011232,18000497,2018/01/09,Felony,",243.3,31360(A),368(B)1,368(C),",EAP,Elder Abuse-Physi,New Filing
47888,180022881,18000512,2018/01/09,Felony,",246.3(A),25400(a)(2),25400A2,25850(A),",GUN,Gun-Felony,New Filing
47889,180022499,18000508,2018/01/09,Felony,",10852,148(A)1,245(A)4,466,594B1,69(A),",ASLT,Assault-Felony,New Filing
47890,180023936,2507257,2018/01/09,Misdemeanor,",490.2(A),",THFT,Theft- Non-Auto,New Filing
47891,180021720,18000488,2018/01/09,Misdemeanor,",22400(A),23152(A),23152(B),23152(F),23152(f),23152(g),",DUI,DUI,New Filing
47892,Z20180109-02507159,2507159,2018/01/09,Felony,",11377(A),487(A),666,",CNV,Conversion,New Filing
47893,180024075,2508076,2018/01/09,Misdemeanor,",11364(A),11364(a),490.2(a),490.2A,",THFT,Theft- Non-Auto,New Filing
47894,Z20180502-02509022,2509022,2018/01/09,Misdemeanor,",11377(a),12500(A),23152(A),23152(B),23152(F),23152(G),",DUI,DUI,New Filing
47895,190022542,19000516,2018/01/09,Felony,",290.011A,290.012(a),290.012A,",290,290 Failure to Re,New Filing
47896,180025459,18000562,2018/01/10,Felony,",11351,11351.5,11378,32,",DRUG,Narcotics,New Filing
47897,180025700,18000604,2018/01/10,Felony,",10851(A),12500(A),12500(a),148(A)1,148(a)(1),20001(A),20002(A),22450(a),4463(A),496(A),496D(A),496D,",AUTO,Auto Theft,New Filing
47898,180025158,18000544,2018/01/10,Felony,",11351.5,32,",DRUG,Narcotics,New Filing
47899,180025904,18000558,2018/01/10,Felony,",11351,11351.5,11364(A),11364(a),11378,1203.07(a)(1),166(A)4,",DRUG,Narcotics,New Filing
47900,180026952,18000579,2018/01/10,Felony,",459,496(A),496(a),",BURA,Burglary-Auto,New Filing
47901,180027314,18000581,2018/01/10,Misdemeanor,",273.5(A),273.5(a),",ASLT,Assault-Misdemean,New Filing
47902,170921823,18000543,2018/01/10,Felony,",136.1B1,245(A)1,245(A)4,273.5(A),422,459,",ASLT,Assault-Felony,New Filing
47903,180026441,18000571,2018/01/10,Misdemeanor,",148(A)1,422,530.5(A),",THRE,Threats,New Filing
47904,180024768,18000535,2018/01/10,Felony,",22810G1,244,",ASLT,Assault-Felony,New Filing
47905,180027245,18000586,2018/01/10,Misdemeanor,",21460(A),23152(A),23152(B),23538(b)(2),23578,",DUI,DUI,New Filing
47906,180027251,18000580,2018/01/10,Misdemeanor,",22107,23152(A),23152(B),23152(b),23538(b)(2),23578,",DUI,DUI,New Filing
47907,180021350,18001319,2018/01/10,Felony,",236,417(A)1,417(a)(1),422,",THFT,Theft-Non Auto,New Filing
47908,170882162,18001404,2018/01/10,Felony,",459,602.5(A),",BUR,Burglary,New Filing
47909,180029150,18000632,2018/01/11,Felony,",459,487(A),PAROLE,",BURC,Burglary-Commerci,New Filing
47910,180005893,18000587,2018/01/11,Felony,",22810(A),459,466,487(A),594(B)1,594(b)(1),",BURR,Burglary-Resident,New Filing
47911,180028390,18000645,2018/01/11,Felony,",11350(A),11351,135,",DRUG,Narcotics,New Filing
47912,180028328,18000616,2018/01/11,Misdemeanor,",148.9(A),490.2(A),",THFT,Theft- Non-Auto,New Filing
47913,170928879,18000606,2018/01/11,Misdemeanor,",594(B)1,594(b)(1),",VAN,Vandalism,New Filing
47914,180029611,18000640,2018/01/11,Felony,",236,243.25,245(A)4,245(a)(4),368(B)1,368(C),368(c),422,",EAP,Elder Abuse-Physi,New Filing
47915,180029003,18000626,2018/01/11,Felony,",245(A)4,245(a)(4),368(B)1,",ASLT,Assault-Felony,New Filing
47916,180027869,18000605,2018/01/11,Felony,",236,273.5(A),273.5(a),",ASLT,Assault-Felony,New Filing
47917,180027778,18000598,2018/01/11,Felony,",245(A)4,245(a)(4),273A(A),273a(a),664/207A,",CE,Child Endangermen,New Filing
47918,180030436,18000653,2018/01/11,Felony,",10851(a),12022.1(b),148(A)1,459,466,496d(a),",BURA,Burglary-Auto,New Filing
47919,180030248,18000650,2018/01/11,Misdemeanor,",10851(A),10851(a),14601.1(a),21510(a),496(A),496(a),496D(A),496d(a),",OTHM,Other-Misdemeanor,New Filing
47920,180030226,18000663,2018/01/11,Felony,",12022(b)(1),187(A),",HOMI,Homicide,New Filing
47921,180030602,18000659,2018/01/11,Misdemeanor,",243(E)1,",ASLT,Assault-Misdemean,New Filing
47922,171054227,18000842,2018/01/11,Felony,",459,594(B)1,",BURC,Burglary-Commerci,New Filing
47923,180028942,2508061,2018/01/11,Misdemeanor,",11350(A),11364(A),14601.1(A),25950(B),",DRUG,Narcotics,New Filing
47924,180029837,2508241,2018/01/11,Misdemeanor,",11377(A),11377(a),22106,23152(F),",DUI,DUI,New Filing
47925,180032824,18000715,2018/01/12,Felony,",459,466,",BURA,Burglary-Auto,New Filing
47926,Z20180112-18000667,18000667,2018/01/12,Felony,",10851(A),466,496D(A),496d(a),",AUTO,Auto Theft,New Filing
47927,180031177,18000670,2018/01/12,Misdemeanor,",594(B)1,594(b)(1),",VAN,Vandalism,New Filing
47928,180005893,18000703,2018/01/12,Felony,",459,487(A),",BURR,Burglary-Resident,New Filing
47929,180031600,18000691,2018/01/12,Felony,",14601.1(A),25400A1,25850(A),29800(a)(1),29800A1,30305A1,",GUN,Gun-Felony,New Filing
